Usuario,Subforo,idHilo,Hilo,Etiqueta,NumComent,Comentario,Likes,Fecha
LaChilvy,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,86,"
Que la tierra te sea leve, amigo. ",0,2023-07-15 18:03:00
Mysterio619,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,87,"
Parte importante de mi infancia, la cual no concibo sin su obra. ",1,2023-07-15 18:03:00
SpiuK,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,88,"
Dep. De niño me diste muchas horas con esos libros tochos que traían mil historias de mortadelo y filemon. ",0,2023-07-15 18:04:00
fracarro,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,89,"
Dep..la cantidad de tebeos que debo de tener en casa de mis padres y gracias a mi tío que los conocí ",1,2023-07-15 18:05:00
SkiNeT,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,90,"
DEP. El más grande del tebeo español. ",0,2023-07-15 18:05:00
reVorZ,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,91,"
Que pena. Se queda en nuestra historia. Grande DEP ",0,2023-07-15 18:07:00
ClaudeS,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,92,"
#63 Quien no conoce a Dios a cualquier santo le reza.



No deja insertar. Usad el enlace.
https://m.facebook.com/LagrabadoradeJimmy/videos/la-gran-aventura-de-mortadelo-y-filemon/1029050630920416/ ",3,2023-07-15 18:09:00
kraqen,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,93,"
DEP
#49 La película que hicieron de animación también es muy buena, de los mejores productos patrios en animación. ",0,2023-07-15 18:12:00
chiptune,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,94,"
Hostia, mi infancia.
DEP ",0,2023-07-15 18:13:00
Carcinoma,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,95,"
Pasé mi infancia entera (y algo más que mi infancia) leyendo a este tío y copiando sus dibujos. Un grandísimo de nuestra cultura colectiva y solo dios sabe cuánto habrá influido en nuestro sentido del humor como nación.
Descanse en paz. ",7,2023-07-15 18:28:00
Alatriste,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,96,"
Descansa en paz, se va parte de mi infancia. ",0,2023-07-15 18:33:00
Tritoman,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,97,"
Se nos va un grande de grandes, aún recuerdo como me llegaban todos los meses cómics de mortadelo y filemón por estar en el círculo de lectores... Muchos empezamos con él con la lectura
Dep ",0,2023-07-15 18:35:00
